"","Surface_1","Pseudoalteromonadaceae","Flavobacteriaceae","ZD0405","Porticoccaceae","Oceanospirillaceae","Piscirickettsiaceae","Rhodobacteraceae","Colwelliaceae","SAR86_clade","NS9_marine_group","PS1_clade","Chesapeake-Delaware_Bay","SAR116_clade","Spongiibacteraceae","Verrucomicrobiaceae","Alteromonadaceae","Cryomorphaceae","Unknown_Family","Surface_4","Methylophilaceae","Surface_2","Puniceicoccaceae","Flammeovirgaceae","OM182_clade","Rhodospirillaceae","Mitochondria","Cellvibrionaceae","Halieaceae","Burkholderiaceae","Emcibacteraceae","OCS116_clade","Deep_1","Alcanivoracaceae","NS7_marine_group","Lentisphaeraceae","Cytophagaceae","Nitrospinaceae","NS11-12_marine_group","Idiomarinaceae","Comamonadaceae","Nitrosomonadaceae","Sva0996_marine_group","Chitinophagaceae","Litoricolaceae","Caulobacteraceae","Opitutaceae","Rubritaleaceae","Sphingomonadaceae","Microbacteriaceae","Blfdi19","AT-s3-44","Bacteriovoracaceae","Mycobacteriaceae","Elev-16S-1332","Rickettsiaceae"
"400140R102b",90631.4550740664,422.081523223036,9887.25968149963,2113.92496214204,1451.96043988725,652.467687982276,35.1734602685863,3756.73730326858,0,2254.61880321639,1603.90978824754,2680.21767246627,316.561142417277,759.746741801465,0,0,0,2349.58714594157,2701.32174862743,548.705980189947,1646.11794056984,3935.91020405481,73.0525713270639,261.690544398282,91.4509966983245,3788.18167092675,327.113180497853,0,0,0,0,147.728533128063,6922.13698085779,0,0,0,0,263.800952014398,0,0,0,0,400.977447061884,0,0,110.796399846047,0,0,0,0,0,0,0,0,116.072418886335,0
"400149R102b",101936.400182427,5608.15357062124,8167.91699408028,2284.00859235581,1991.23588344006,801.071907131058,0,4777.25020997663,0,3180.44620271676,1373.26612651038,3790.78670338804,300.401965174147,1087.16901682072,0,0,12.4390047691158,2694.08111624434,2932.49537431906,886.901040037957,2102.81375621902,4920.87028666221,110.03734988064,154.492439232418,143.048554844832,4334.3712117984,114.438843875865,0,0,0,0,128.743699360349,6365.66069059501,0,33.3779961304607,0,0,572.194219379327,0,0,0,0,228.877687751731,0,0,0,0,0,0,0,0,0,0,0,0,0
"400235R102b",585528.412801475,150.956072187655,62641.5193118876,14149.6158330562,12873.5338361632,12891.6485648257,19609.9126156154,53687.0365311192,905.73643312593,5836.96812458932,20067.0938628123,7004.36174950719,2777.59172825285,9842.3359066351,0,0,702.448922579888,3502.1808747536,11049.9844841363,2475.67958387754,5555.18345650571,2234.14986837729,4273.21804346593,0,1147.26614862618,5253.27131213039,1871.85529512692,0,169.070800850173,0,0,0,3985.24030575409,0,764.84409908412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"400235R13b",102444.094151792,3677.99942771584,267213.186982573,11976.5559346539,40383.7588540397,19647.4905208992,5938.78806677055,44401.338513311,22906.7539718293,8017.36389014024,109372.680229691,11283.697326864,890.818210015582,4157.15164673938,0,2512.56418209523,60186.5452697885,17717.3843991988,5641.84866343202,0,2078.57582336969,0,15303.8000182164,475.103045341644,890.818210015582,1187.75761335411,31772.5161572224,0,2256.73946537281,0,0,0,0,0,1583.67681780548,6532.66687344761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4859.00841826682,0,0
"400244R102b",551681.965840803,778.960335824919,67608.9188866475,16973.9166511182,11786.7826815108,15356.6466205484,19415.7188466837,54851.4575370697,1106.4416198656,6617.45351957931,19051.144213318,6676.80287849931,2314.62499787976,11306.0528742588,0,0,964.427082449897,2284.95031841976,5608.51441793942,1602.43269083983,6320.70672497934,2937.79326653969,2739.20118092279,640.973076335933,1157.31249893988,9124.96393394905,3115.84134329968,0,320.486538167967,0,0,0,2136.57692111978,0,326.421474059966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356.096153519963,0,0,0,0,0,0
"400244R13b",212170.24520963,7938.05476163088,211764.300359591,14103.3242917122,29381.2362956961,18880.2567130987,15420.8950152362,55700.026504459,10564.199343771,8064.95084130172,61086.8327825776,15261.3685150786,2729.67566936366,7816.79850772321,0,763.545641780044,27975.3993798144,10732.5884272708,2853.75183615292,1240.76166789257,5335.27517193806,5459.35133872732,15843.5720669359,496.304667157029,703.098278472457,6327.88450625213,21341.1006877523,0,2531.15380250085,0,0,0,1488.91400147109,0,537.663389420114,6203.80833946287,0,0,82.7174445261715,0,0,0,620.380833946286,0,0,0,0,0,0,0,0,0,0,0,0,0
"400355R102b",100242.924333262,486.856879650288,24392.2790856062,5561.65945995535,10037.5978387328,6592.38486545267,3586.12355244331,13640.4038357658,631.056370712639,2359.49189210227,23648.140542649,532.216216263671,2528.02702725244,3565.84864896659,0,163.758835773437,119.748648659326,1853.88648665179,1490.20540553828,0,1463.59459472509,3459.40540571386,81.8794178867186,218.208648668105,514.475675721548,1623.25945960419,1170.87567578008,0,127.731891903281,46.9602543762062,79.8324324395506,266.108108131835,159.664864879101,0,79.8324324395506,0,0,372.551351384569,0,0,0,0,292.718918945019,0,0,39.9162162197753,0,0,0,0,0,0,0,0,79.8324324395506,0
"400365R102b",102383.490409576,1536.82503939261,53911.750630505,4961.84764396291,11617.9847273278,8395.80927560795,1599.20176678247,12033.5878599175,700.191043834486,3751.64090153293,28500.368784226,0,3630.62022728993,4447.50977843017,0,0,0,1906.07561932722,1543.01359659822,0,1996.84112500946,3812.15123865443,139.639239511151,544.59303409349,574.84820265424,2087.60663069171,0,0,108.918606818698,0,0,0,0,0,0,0,0,0,0,0,0,0,544.59303409349,0,0,0,0,0,0,0,0,0,0,0,0,0
"400468R13b",156876.783533601,25957.8820775802,249006.260753475,2020.8364291065,9101.24851034633,6673.7499356295,2316.65551837607,20174.469558507,320.767687159762,3093.62613838526,29065.1165420873,6960.65881136685,1047.84111138856,7933.65412908479,0,460.589499511454,548.001376266562,5613.43452529584,673.612143035501,598.76634936489,1571.76166708284,7858.80833541418,4375.60024535882,389.198127087179,174.640185231426,2956.40884998915,11152.0232569211,0,928.08784151558,0,0,0,4490.74762023668,0,299.383174682445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"400468R202b",383830.819003602,1648.89796981668,82927.6362341559,4067.67009185401,11300.6027929995,4546.21951442507,2685.73655524574,22086.2012285926,43.9484163585667,3777.12222815015,3725.84907573183,3025.11599268134,2256.01870640642,6973.14872889258,0,0,37.1544582741506,2478.20236688584,2256.01870640642,1333.10196287652,2922.56968784468,5793.86622327105,670.495070085827,481.967632732281,136.728406448874,2050.92609673311,0,0,0,0,0,0,1692.01402980482,0,170.910508061093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
