"","Candidatus_Pelagibacter","Pseudoalteromonas","Polaribacter_1","SAR92_clade","Formosa","Ulvibacter","Balneatrix","Polaribacter_4","Planktomarina","NS2b_marine_group","Zhongshania","Haloferula","NS5_marine_group","Oceaniovalibus","Roseobacter_clade_NAC11-7_lineage","Paraglaciecola","Pseudohongiella","NS4_marine_group","Sulfitobacter","NS10_marine_group","Colwellia","OM43_clade","Polaribacter_3","Amylibacter","Oleispira","Lentimonas","Alteromonas","Porticoccus","Marinoscillum","Ascidiaceihabitans","Magnetospira","Glaciecola","OM75_clade","AEGEAN-169_marine_group","OM60(NOR5)_clade","Ralstonia","Emcibacter","Pelagicoccus","Pseudofulvibacter","Loktanella","Fluviicola","Pseudophaeobacter","Alcanivorax","marine_group","Crocinitomix","Candidatus_Nitrosopelagicus","Lentisphaera","Leadbetterella","Idiomarina","Luteolibacter","Roseibacillus","Salinirepens","Nitrospina","Cycloclasticus","Croceibacter","Pelomonas","Marinobacter","Candidatus_Tenderia","Nitrosomonas","Hydrotalea","Litoricola","Caulobacter","NS3a_marine_group","Opitutus","Rubritalea","Oceanibulbus","Sphingomonas","Candidatus_Aquiluna","BAL58_marine_group","Brevundimonas","Peredibacter","Mycobacterium"
"400140R102b",78422.7470148401,422.081523223036,84.4163046446072,1148.06174316666,796.678875083481,183.513705749146,140.693841074345,142.452514087775,1596.56924001757,5106.26886247,0,0,1302.94731081894,752.406193571499,1306.82933151748,0,511.773846907931,2270.98210864568,0,2349.58714594157,0,1646.11794056984,0,0,0,0,0,303.898696720586,261.690544398282,0,284.90502817555,0,791.402856043193,1762.19035945618,0,0,0,0,0,0,0,0,0,73.0525713270639,0,1435.07717895832,0,0,0,0,0,0,158.280571208639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.796399846047,0,0
"400149R102b",88561.3603044353,5608.15357062124,92.9815606491406,1562.09021890556,765.30976841985,254.999597766873,143.048554844832,132.319913231469,1909.38723205927,4390.96868349788,0,0,758.779290916064,1001.33988391382,1716.58265813798,0,658.023352286226,1772.558179599,19.3308857898421,2694.08111624434,0,2102.81375621902,0,0,0,0,12.4390047691158,429.145664534496,154.492439232418,0,414.840809050012,0,901.20589552244,1716.58265813798,0,0,0,0,0,0,0,0,0,110.03734988064,0,1502.00982587074,0,0,0,0,0,0,329.011676143113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"400235R102b",574055.751315214,150.956072187655,2294.53229725235,12124.7917181124,18778.9353801443,12916.5891332741,8151.62789813335,5102.31523994274,40928.7854853137,9556.1757002272,0,0,3806.71834212347,3859.22480201483,5620.21068760192,593.760550604776,4740.02066669237,8742.32557191114,1126.05070064304,1268.0310063763,905.73643312593,5555.18345650571,0,1128.8888876642,0,3762.28979913848,0,748.742118050768,0,761.343668424693,422.677002125434,108.688371975112,1992.62015287704,1630.32557962668,169.070800850173,0,0,0,131.266149728395,0,362.294573250372,0,0,510.928244327447,0,362.294573250372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"400235R13b",102444.094151792,3677.99942771584,7423.48508346319,40383.7588540397,77352.7145696865,88694.5087363341,14154.1115591365,22864.3340570666,35632.7284006234,36407.3529310716,0,2512.56418209523,5293.26762473028,2323.873591345,2969.39403338528,38305.1830306701,5493.37896176276,13555.9292828458,1926.09342706072,4751.03045341643,22906.7539718293,2078.57582336969,0,1549.24906089667,0,15303.8000182164,0,0,475.103045341644,0,0,21676.5764437125,1187.75761335411,0,2256.73946537281,0,0,0,4647.74718269,0,3563.27284006233,0,0,0,692.858607789896,0,6532.66687344761,0,0,0,0,2474.49502782106,0,0,0,0,204.785795405881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4859.00841826682
"400244R102b",537616.167776764,778.960335824919,1669.20071962483,11323.8576819348,21187.7211344378,14205.140037155,11038.9807591188,5697.53845631941,41105.8820693697,11650.5371966857,0,0,2748.13335868667,3870.61036434742,6779.52292278391,964.427082449897,4317.66586142955,9057.22825257298,1082.724791108,1038.61378109989,1106.4416198656,6320.70672497934,0,1470.83193845202,0,2396.80103330744,0,462.924999575952,640.973076335933,0,1201.82451812988,0,2403.64903625975,3382.91345843965,320.486538167967,0,0,0,0,0,0,0,0,342.400147615349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356.096153519963,0,0,0,0
"400244R13b",208075.731705585,7938.05476163088,5862.5988807924,29381.2362956961,64209.4163134406,67594.5378204084,12242.1817898734,18425.3107682047,42347.7351867681,29616.441551001,0,763.545641780044,5448.5621068326,3560.44652525694,6394.69474990787,18983.6535187564,6513.99875643601,11652.3704462955,1509.03446095043,1571.63144599726,10564.199343771,5335.27517193806,0,1888.11558157565,124.076166789257,14030.1511677083,107.89231894718,0,496.304667157029,0,1240.76166789257,8883.85354211082,1116.68550110332,2233.37100220664,2531.15380250085,0,0,0,3020.98493052104,0,3660.24692028309,0,0,1813.4208992276,827.174445261715,0,6203.80833946287,0,0,0,0,909.891889787886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"400355R102b",97688.2864951967,486.856879650288,8788.22027105386,9601.18054139662,1836.14594610966,2684.22091680807,4213.37837875407,1503.51081094487,7335.32785024277,4280.8695655991,0,0,1446.2397181078,1909.0364279023,2497.32224554491,119.748648659326,2341.75135156015,2128.86486505468,568.176771416623,79.8324324395506,395.360617795871,1463.59459472509,312.677027054906,867.74383086468,37.2551351384569,81.8794178867186,0,436.41729733621,218.208648668105,300.817861366424,399.162162197753,0,505.605405450487,266.108108131835,127.731891903281,46.9602543762062,79.8324324395506,0,0,161.978848428074,159.664864879101,0,0,0,53.2216216263671,0,0,0,0,0,163.758835773437,0,372.551351384569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.9162162197753,0,0
"400365R102b",101294.304341389,1536.82503939261,26140.4656364875,11436.4537159633,4946.72005968253,5130.22423421404,6081.28888071062,2859.11342899082,6827.14455783869,6037.87929103651,0,0,3196.52433054874,1420.67748024389,1885.12973340054,0,2314.52039489733,2209.94274704604,637.811661550934,0,337.129021105493,1996.84112500946,431.13615199068,1104.97137352303,0,139.639239511151,0,181.531011364497,544.59303409349,0,726.124045457986,0,635.358539775738,0,108.918606818698,0,0,0,0,157.853053360432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"400468R13b",149092.820991857,25957.8820775802,27356.1375866084,8831.80365313213,78026.7399016122,73641.7526419971,6112.40648309992,7241.33053763164,16661.3245040665,51155.4728913916,0,0,2310.45710896234,1138.95772977017,1554.48956085116,0,561.343452529585,4718.53916619072,364.114671911081,2070.73362488691,320.767687159762,1571.76166708284,0,227.791545954035,0,0,488.124741330073,269.444857214201,389.198127087179,0,711.035039870808,59.876634936489,1496.91587341223,0,928.08784151558,0,0,0,650.832988440098,0,149.691587341223,0,0,4375.60024535882,0,0,0,0,0,0,460.589499511454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"400468R202b",374242.739501375,1648.89796981668,18958.2481066767,10664.8157030122,17381.5986698131,9786.48430941125,2854.20548462025,5524.68217307482,18391.4568457045,20041.1147930768,0,0,3232.4378698511,1159.2190981535,1735.39900492802,0,1692.01402980482,7311.99738835284,443.443480374727,837.461489499354,43.9484163585667,2922.56968784468,0,356.682799431846,0,0,37.1544582741506,635.787089987265,481.967632732281,0,410.185219346623,0,820.370438693245,256.365762091639,0,0,0,0,0,0,0,0,0,670.495070085827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
