"","abond.norm","abond.bi","abond.logit","Richness","NonEndeRich","Endemic","Abundance","Shannon","Simpson"
"400140",94596.8542652573,64557.3181232148,38499.6737653739,235,210,25,197653.846153846,3.81399792033836,0.900475315078671
"400149",113714.840398336,74762.7675533821,42566.606535582,214,200,14,231044.2144873,3.71767939550963,0.895430305320924
"400235",635557.220999436,221010.928837694,21492.6866647702,147,144,3,878060.836501901,2.55994401868823,0.686721576595678
"400244",608533.213891924,219012.988321514,21742.8973126293,122,122,0,849289.099526067,2.63040173987459,0.713167005719105
"400355",153051.371568122,55687.2649953126,25471.8897523543,149,141,8,234210.526315789,3.24645356640006,0.833880995852257
"400365",215175.908687148,50275.0493333661,27491.0924995452,84,83,1,292942.050520059,3.06474548553502,0.854673198053321
"400468",469535.635194599,147318.465356025,6411.60625565946,118,117,1,623265.706806283,2.65253745943778,0.73982285957069
"400795",177524.774541081,75604.9492738753,35254.8915696586,198,194,4,288384.615384615,3.34115044357072,0.804624155640702
"400804",161462.20962231,73938.6516070699,38962.2698498231,181,180,1,274363.131079203,3.23905930727098,0.805483366871541
"407863",176939.22072403,75894.8436367925,29778.951039078,168,164,4,282613.0153999,3.07488864326804,0.786530143935233
"407872",169849.294883071,73048.7388671873,20738.3298861053,142,137,5,263636.363636364,3.01687717067022,0.798214920489915
"408031",492316.108087282,165603.966622996,21202.1823430138,153,151,2,679122.257053292,2.70501668133156,0.714886391944134
"408040",731223.837351192,234509.99968386,43519.3024229786,114,114,0,1009253.13945803,3.09156097645893,0.847816892448887
"408231",438331.39087826,192139.578057076,32619.9401555733,123,123,0,663090.909090909,3.06831950478028,0.815797520221626
"408386",219214.534463077,72807.00311924,53394.9351957186,105,99,6,345416.472778036,2.53763973055145,0.735851306136247
"408396",249245.244616769,78079.8364992481,22625.6820548353,161,159,2,349950.763170852,2.58659951083239,0.68672200596369
"433238",813957.959430086,160521.647524785,14992.6152673505,118,116,2,989472.222222222,2.30288278951126,0.663529179976857
"433246",468444.055938567,116656.554010647,11899.390050786,129,127,2,597000,2.65296474068311,0.739751957170381
"433310",495425.919756839,174901.793849289,20977.841949428,128,127,1,691305.555555556,2.78334169832153,0.768196782084335
"433318",717166.495041884,195263.364752078,15625.6957615938,132,131,1,928055.555555556,2.45295021179254,0.703864199742601
"433434",438659.215669271,193987.530818237,19214.3646236029,158,156,2,651861.111111111,2.48897690232247,0.681610346215105
"433442",409989.786377123,176417.438624534,18814.9972205643,151,146,5,605222.222222222,2.32908819357641,0.656589009078175
"433561",182335.379409822,89008.3052989122,19628.5375134877,138,136,2,290972.222222222,2.86347605298731,0.781298612711402
"433569",298710.183968153,162084.48427744,48955.3317544067,116,115,1,509750,2.99885883090687,0.87255593043606
"433635",473249.173820983,256090.691314594,16465.6904199783,127,127,0,745805.555555556,2.50593907923073,0.724329111125859
"433643",541471.377600331,211614.211924424,31997.743808578,166,162,4,785083.333333333,2.3810853847902,0.645742206664958
"433938",267083.21014141,86288.7794021972,62086.2230167784,230,217,13,415458.212560385,3.2831999380063,0.796950390523914
"433946",244714.415387954,106195.92948846,46958.2541574017,170,167,3,397868.599033816,3.28971390474754,0.823110819933646
