"","abond.norm","abond.bi","abond.logit","Richesse","RichesseNonEnde","Endemique","Abondance","Shannon","Simpson"
"400140",134788.42792166,27155.7874008828,35954.8333899384,233,214,19,197899.048712481,3.78984770421522,0.920637992239655
"400149",157521.534713371,29894.31982223,43725.2383155309,223,204,19,231141.092851132,3.70618314729342,0.914372590211494
"400235",754248.149111959,93079.0310155466,30875.0285157673,149,144,5,878202.208643273,2.70778667105725,0.717512389819396
"400244",740000.869155282,77837.4235418482,31584.511564313,129,129,0,849422.804261443,2.72748421116052,0.733199203792255
"400355",178521.971288043,22947.2722761072,32786.5828648895,152,147,5,234255.826429039,3.36953458226501,0.86035685043433
"400365",228494.349612724,32266.8130524238,32192.7081858806,91,90,1,292953.870851028,3.14496998660935,0.881299705722321
"400468",549400.53849295,60630.8369769918,13391.8612670277,129,127,2,623423.23673697,2.81355110036411,0.7796134565208
"400795",198352.601792091,37311.3965042297,52765.2775819164,215,210,5,288429.275878237,3.53512036409858,0.85285817151207
"400804",184021.54738968,43540.8322309053,46843.168461158,186,182,4,274405.548081743,3.33492893179791,0.838172930955535
"407863",218556.266123037,32450.5356163429,31688.6650731168,185,184,1,282695.466812497,3.15876190841262,0.822747942795123
"407872",207329.582978848,29291.1039621049,27137.3608468762,186,174,12,263758.047787829,3.12203557417631,0.842964490444215
"408031",577008.05022292,76703.677511863,25485.5561137924,151,147,4,679197.283848576,2.86301876748946,0.747728893457608
"408040",887293.24844397,77457.9163837629,44678.2490466869,126,124,2,1009429.41387442,3.20552236772618,0.858378657120728
"408231",535718.517949338,88052.4491888693,39379.7570696133,111,110,1,663150.724207821,3.19639595593494,0.838629273331663
"408386",255332.306976488,37567.9315134559,52563.2141538641,87,81,6,345463.452643808,2.54480326456532,0.745771378769214
"408396",284220.057110693,39913.1575957557,25864.3260111808,165,163,2,349997.54071763,2.69799084105467,0.714917398263964
"433238",878647.181443263,92677.3563118872,18269.9466892936,136,134,2,989594.484444444,2.46129467431338,0.72693080519158
"433246",513197.011357881,63808.1834774124,20111.6018313733,145,145,0,597116.796666667,2.75830234203085,0.788793338137641
"433310",589821.504280436,76608.1355465188,25114.8046174902,144,143,1,691544.444444445,2.96189873388616,0.825217484883532
"433318",824670.749799239,85211.5800849815,18439.9423380023,148,146,2,928322.272222223,2.53940836459313,0.723321211166629
"433434",530733.267780669,96280.5638929977,25002.8349929993,151,150,1,652016.666666666,2.694772105074,0.731070916672104
"433442",485978.289659654,97928.26827943,21460.1087275829,135,129,6,605366.666666667,2.49857288643649,0.699251960506077
"433561",210968.200668278,62495.3513707415,17625.3368498694,135,134,1,291088.888888888,2.89053741687066,0.795719327037551
"433569",345122.795685493,118790.773360178,46041.9865098848,118,117,1,509955.555555556,3.0723326676692,0.878223837256983
"433635",562641.291596356,155460.590538519,28275.8956429039,122,122,0,746377.777777778,2.689060417532,0.769126792065974
"433643",640191.900122204,105798.606050197,39759.4938275992,154,152,2,785750,2.51227169409201,0.672409821737406
"433938",290796.822057671,46862.9415641629,77887.4878274409,258,242,16,415547.251449275,3.40886355691648,0.848123306068401
"433946",275817.031868179,50647.8449832182,71465.23329353,194,185,9,397930.110144927,3.40598910431933,0.85206810697872
