"","abond.norm","abond.bi","abond.logit","Richness","NonEndeRich","Endemic","Abundance","Shannon","Simpson"
"400140",94.5968542652573,64.5573181232148,38.4996737653739,235,210,25,197653.846153846,3.81399792033836,0.900475315078671
"400149",113.714840398336,74.7627675533821,42.566606535582,214,200,14,231044.2144873,3.71767939550963,0.895430305320924
"400235",635.557220999436,221.010928837694,21.4926866647702,147,144,3,878060.836501901,2.55994401868823,0.686721576595678
"400244",608.533213891924,219.012988321514,21.7428973126293,122,122,0,849289.099526067,2.63040173987459,0.713167005719105
"400355",153.051371568122,55.6872649953126,25.4718897523543,149,141,8,234210.526315789,3.24645356640006,0.833880995852257
"400365",215.175908687148,50.2750493333661,27.4910924995452,84,83,1,292942.050520059,3.06474548553502,0.854673198053321
"400468",469.535635194599,147.318465356025,6.41160625565946,118,117,1,623265.706806283,2.65253745943778,0.73982285957069
"400795",177.524774541081,75.6049492738753,35.2548915696586,198,194,4,288384.615384615,3.34115044357072,0.804624155640702
"400804",161.46220962231,73.9386516070699,38.9622698498231,181,180,1,274363.131079203,3.23905930727098,0.805483366871541
"407863",176.93922072403,75.8948436367925,29.778951039078,168,164,4,282613.0153999,3.07488864326804,0.786530143935233
"407872",169.849294883071,73.0487388671873,20.7383298861053,142,137,5,263636.363636364,3.01687717067022,0.798214920489915
"408031",492.316108087282,165.603966622996,21.2021823430138,153,151,2,679122.257053292,2.70501668133156,0.714886391944134
"408040",731.223837351192,234.50999968386,43.5193024229786,114,114,0,1009253.13945803,3.09156097645893,0.847816892448887
"408231",438.33139087826,192.139578057076,32.6199401555733,123,123,0,663090.909090909,3.06831950478028,0.815797520221626
"408386",219.214534463077,72.80700311924,53.3949351957186,105,99,6,345416.472778036,2.53763973055145,0.735851306136247
"408396",249.245244616769,78.0798364992481,22.6256820548353,161,159,2,349950.763170852,2.58659951083239,0.68672200596369
"433238",813.957959430086,160.521647524785,14.9926152673505,118,116,2,989472.222222222,2.30288278951126,0.663529179976857
"433246",468.444055938567,116.656554010647,11.899390050786,129,127,2,597000,2.65296474068311,0.739751957170381
"433310",495.425919756839,174.901793849289,20.977841949428,128,127,1,691305.555555556,2.78334169832153,0.768196782084335
"433318",717.166495041884,195.263364752078,15.6256957615938,132,131,1,928055.555555556,2.45295021179254,0.703864199742601
"433434",438.659215669271,193.987530818237,19.2143646236029,158,156,2,651861.111111111,2.48897690232247,0.681610346215105
"433442",409.989786377123,176.417438624534,18.8149972205643,151,146,5,605222.222222222,2.32908819357641,0.656589009078175
"433561",182.335379409822,89.0083052989122,19.6285375134877,138,136,2,290972.222222222,2.86347605298731,0.781298612711402
"433569",298.710183968153,162.08448427744,48.9553317544067,116,115,1,509750,2.99885883090687,0.87255593043606
"433635",473.249173820983,256.090691314594,16.4656904199783,127,127,0,745805.555555556,2.50593907923073,0.724329111125859
"433643",541.471377600331,211.614211924424,31.997743808578,166,162,4,785083.333333333,2.3810853847902,0.645742206664958
"433938",267.08321014141,86.2887794021972,62.0862230167784,230,217,13,415458.212560385,3.2831999380063,0.796950390523914
"433946",244.714415387954,106.19592948846,46.9582541574017,170,167,3,397868.599033816,3.28971390474754,0.823110819933646
