"","SAR11_clade","Alteromonadales","Flavobacteriales","Oceanospirillales","Cellvibrionales","Rickettsiales","Thiotrichales","Rhodobacterales","Rhizobiales","Verrucomicrobiales","Gammaproteobacteria_Incertae_Sedis","SAR324_clade(Marine_group_B)","Methylophilales","Puniceicoccales","P.palmC41","Cytophagales","Rhodospirillales","Burkholderiales","Emcibacterales","BD7-8_marine_group","Unknown_Order","KI89A_clade","Lentisphaerales","Nitrospinales","Sphingobacteriales","NB1-j","Nitrosomonadales","Acidimicrobiales","Caulobacterales","Opitutales","Sphingomonadales","Micrococcales","PeM15","MB11C04_marine_group","Myxococcales","Bdellovibrionales","Corynebacteriales","Solirubrobacterales"
"400140R102b",105900.25417666,422.081523223036,13840.7566156887,5112.46245003902,1451.96043988725,37417.5270337221,35.1734602685863,3756.73730326858,2827.94620559434,0,1266.24456966911,4115.2948514246,1646.11794056984,73.0525713270639,0,261.690544398282,3788.18167092675,0,0,0,1435.07717895832,0,0,263.800952014398,0,0,0,400.977447061884,110.796399846047,0,0,0,0,0,0,0,0,116.072418886335
"400149R102b",119388.323873497,5620.59257539036,12268.6422329655,6408.57525704846,1991.23588344006,44945.8559322461,0,4777.25020997663,3919.53040274839,0,1430.48554844832,3905.2255472639,2102.81375621902,110.03734988064,0,154.492439232418,4334.3712117984,0,0,0,1502.00982587074,0,0,572.194219379327,0,0,0,228.877687751731,0,0,0,0,85.829132906899,0,0,0,0,0
"400235R102b",603945.053608369,1759.14142789347,86975.6381485376,34025.4986710974,13042.6046370133,14612.547787765,19609.9126156154,53687.0365311192,7004.36174950719,0,10687.689910886,2053.00258175211,5555.18345650571,4273.21804346593,3743.71059025384,0,5253.27131213039,0,0,0,362.294573250372,207.025470428784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"400235R13b",112540.033865302,86771.2986693336,395886.928429268,40532.228555709,42640.4983194125,46025.6075174717,5938.78806677055,44401.338513311,11283.697326864,2512.56418209523,5641.84866343202,2078.57582336969,2078.57582336969,15303.8000182164,43947.0316941021,475.103045341644,1187.75761335411,0,0,0,0,0,6532.66687344761,0,0,0,0,0,0,0,0,0,0,0,0,0,4859.00841826682,0
"400244R102b",565569.715828081,2849.82903814042,89271.4348924452,40105.3292901857,12107.2692196787,17893.8317143781,19415.7188466837,54851.4575370697,6676.80287849931,0,5608.51441793942,1246.33653731987,6320.70672497934,2739.20118092279,5163.39422603946,640.973076335933,9124.96393394905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356.096153519963,0,0,0,0,0,0
"400244R13b",226439.004390395,46477.6534852163,284121.38495886,41751.6301245851,31912.3900981969,35609.8598685169,15420.8950152362,55700.026504459,15261.3685150786,763.545641780044,2853.75183615292,868.533167524801,5335.27517193806,15843.5720669359,43922.9630433971,496.304667157029,6327.88450625213,0,0,0,0,0,6203.80833946287,0,82.7174445261715,1612.99016826034,0,620.380833946286,0,0,0,0,0,0,0,0,0,0
"400355R102b",116129.578388733,1237.66189902225,49974.1385473465,15028.0118932318,10165.3297306361,10750.7675685261,3586.12355244331,13640.4038357658,798.324324395506,163.758835773437,1490.20540553828,2767.52432457109,1463.59459472509,81.8794178867186,1809.53513529648,218.208648668105,1623.25945960419,46.9602543762062,79.8324324395506,26.6108108131835,0,0,0,372.551351384569,0,0,0,292.718918945019,39.9162162197753,0,0,0,0,0,0,0,0,79.8324324395506
"400365R102b",118085.922892605,2237.0160832271,84318.1950340582,17684.146023758,11726.9033341465,31041.8029433289,1599.20176678247,12033.5878599175,0,0,1543.01359659822,3086.02719319644,1996.84112500946,139.639239511151,1270.71707955148,544.59303409349,2087.60663069171,0,0,0,0,0,0,0,0,0,0,544.59303409349,0,0,0,0,0,0,0,0,0,0
"400468R13b",176860.610443654,26826.6511410065,283984.19499554,11962.8526883527,10029.3363518619,65714.6068427967,2316.65551837607,20174.469558507,6960.65881136685,460.589499511454,673.612143035501,0,1571.76166708284,4375.60024535882,0,389.198127087179,2956.40884998915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"400468R202b",401622.602892762,1730.0008444494,89302.5981848346,12527.7402408781,11300.6027929995,59528.1299576786,2685.73655524574,22086.2012285926,3025.11599268134,0,2256.01870640642,0,2922.56968784468,670.495070085827,0,481.967632732281,2050.92609673311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"400795R102b",152878.996030331,7413.15498663548,26617.7704042652,11981.291180832,2538.7230540122,40046.8602964552,61.0563505053442,11886.4760347744,3269.56756956118,526.023942815272,876.158629751688,7415.29376887404,1517.2503100578,230.135474981682,0,794.95368357958,5876.67373613937,0,277.806394799316,27.4753577274049,0,0,0,1730.94753682651,92.6021315997718,384.655008183668,534.243066921761,747.940293690466,64.1091680306113,85.4788907074818,0,0,363.285285506797,246.573723194658,0,0,0,0
"400804R102b",148466.347822556,24774.6060880965,20964.7632482984,8321.72391135352,2209.16295181401,30263.9020612898,48.5231714947727,8836.16032099509,2404.80837928093,564.361810000741,774.429817056573,7948.09549084378,1976.83400669704,62.7068677778602,0,782.581709867695,4116.70586961652,0,264.936516361459,0,0,0,0,1426.58124194632,129.071636176095,122.278392166827,346.455444472677,468.733836639504,0,0,0,285.316248389264,0,219.474037222511,0,0,0,0
"407863R102b",180868.487041269,70.7436644482392,16969.5690031579,9636.76704264164,6754.18701151063,37011.3576773053,682.304730430485,7801.29084143312,3549.0342978238,0,1498.97100777651,2490.93711586391,2314.58758553726,525.657253858277,705.398121306593,171.940792068482,2292.54389424643,462.917517107452,0,0,1102.18456454155,0,0,176.349530326648,573.135973561607,0,0,0,336.456340754789,0,0,0,0,0,0,0,0,0
"407872R202b",150180.693860152,0,18877.4261770615,8393.14876705557,5844.57220713212,49899.4136552318,448.538972170592,8314.41753609737,3124.45684029076,0,873.009999493006,1194.64526246411,2917.69131409505,335.773076728079,528.40078916682,87.3009999493006,2596.05605112394,183.791578840633,0,0,0,0,0,0,0,0,0,0,0,0,73.0989234025244,0,0,0,0,0,0,0
"408031R102b",437153.287261395,750.770709705956,66416.8115349706,43079.0066195,9945.71452677673,14364.9715573887,11294.7173928527,54543.9716670071,5201.93322177862,550.663361515026,5488.27816976644,2433.93205789642,4533.79500980705,2826.73858911047,4533.79500980705,0,5774.62311775424,2544.8205426564,0,0,0,0,0,0,63.6322106639585,0,0,334.069105985783,175.825845255675,0,0,0,286.344947987814,0,0,0,0,0
