"","Candidatus_Pelagibacter","Planktomarina","Roseobacter_clade_NAC11-7_lineage","Oceaniovalibus","Pseudoalteromonas","SAR92_clade","Balneatrix","Pseudohongiella","Formosa","Ulvibacter","Polaribacter_1","NS2b_marine_group","OM43_clade","Ralstonia","Pelomonas","Nitrosomonas","Lentimonas","marine_group","Pelagicoccus","Opitutus"
"400140R102b",78422.7470148401,1596.56924001757,1306.82933151748,752.406193571499,422.081523223036,1148.06174316666,140.693841074345,511.773846907931,796.678875083481,183.513705749146,84.4163046446072,5106.26886247,1646.11794056984,0,0,0,0,73.0525713270639,0,0
"400149R102b",88561.3603044353,1909.38723205927,1716.58265813798,1001.33988391382,5608.15357062124,1562.09021890556,143.048554844832,658.023352286226,765.30976841985,254.999597766873,92.9815606491406,4390.96868349788,2102.81375621902,0,0,0,0,110.03734988064,0,0
"400235R102b",574055.751315214,40928.7854853137,5620.21068760192,3859.22480201483,150.956072187655,12124.7917181124,8151.62789813335,4740.02066669237,18778.9353801443,12916.5891332741,2294.53229725235,9556.1757002272,5555.18345650571,0,0,0,3762.28979913848,510.928244327447,0,0
"400235R13b",102444.094151792,35632.7284006234,2969.39403338528,2323.873591345,3677.99942771584,40383.7588540397,14154.1115591365,5493.37896176276,77352.7145696865,88694.5087363341,7423.48508346319,36407.3529310716,2078.57582336969,0,0,0,15303.8000182164,0,0,0
"400244R102b",537616.167776764,41105.8820693697,6779.52292278391,3870.61036434742,778.960335824919,11323.8576819348,11038.9807591188,4317.66586142955,21187.7211344378,14205.140037155,1669.20071962483,11650.5371966857,6320.70672497934,0,0,0,2396.80103330744,342.400147615349,0,0
"400244R13b",208075.731705585,42347.7351867681,6394.69474990787,3560.44652525694,7938.05476163088,29381.2362956961,12242.1817898734,6513.99875643601,64209.4163134406,67594.5378204084,5862.5988807924,29616.441551001,5335.27517193806,0,0,0,14030.1511677083,1813.4208992276,0,0
"400355R102b",97688.2864951967,7335.32785024277,2497.32224554491,1909.0364279023,486.856879650288,9601.18054139662,4213.37837875407,2341.75135156015,1836.14594610966,2684.22091680807,8788.22027105386,4280.8695655991,1463.59459472509,46.9602543762062,0,0,81.8794178867186,0,0,0
"400365R102b",101294.304341389,6827.14455783869,1885.12973340054,1420.67748024389,1536.82503939261,11436.4537159633,6081.28888071062,2314.52039489733,4946.72005968253,5130.22423421404,26140.4656364875,6037.87929103651,1996.84112500946,0,0,0,139.639239511151,0,0,0
"400468R13b",149092.820991857,16661.3245040665,1554.48956085116,1138.95772977017,25957.8820775802,8831.80365313213,6112.40648309992,561.343452529585,78026.7399016122,73641.7526419971,27356.1375866084,51155.4728913916,1571.76166708284,0,0,0,0,4375.60024535882,0,0
"400468R202b",374242.739501375,18391.4568457045,1735.39900492802,1159.2190981535,1648.89796981668,10664.8157030122,2854.20548462025,1692.01402980482,17381.5986698131,9786.48430941125,18958.2481066767,20041.1147930768,2922.56968784468,0,0,0,0,670.495070085827,0,0
"400795R102b",127534.504935563,4961.49213454297,2712.31095514125,2592.24027254211,6631.89916256058,2042.94548790881,1688.20809147277,2863.54283870064,1153.965024551,641.091680306113,2863.54283870064,3484.19391470715,1517.2503100578,0,0,534.243066921761,0,0,230.135474981682,85.4788907074818
"400804R102b",125865.225003721,4324.04749111679,1912.55946722473,1683.54308055777,24219.4588121341,1703.74559752446,1385.82177789071,1630.37856222436,754.050085028768,460.759158889494,2394.61851326704,2525.31462083666,1976.83400669704,0,0,346.455444472677,0,0,62.7068677778602,0
"407863R102b",155959.11588263,4514.16460781802,1322.62147744986,1198.02670058864,17.5347544358883,6278.04327962868,470.265414204395,319.63352371705,2435.82788763683,488.794893840167,727.441812597424,6047.63878457148,2314.58758553726,0,462.917517107452,0,305.220340949967,220.43691290831,0,0
"407872R202b",131732.614134024,4624.75548930506,1731.88218522904,1198.64073156935,0,5458.60989156679,589.664648780365,160.817631485554,2308.88170918546,459.478947101582,608.809604909596,6712.38809678834,2917.69131409505,0,183.791578840633,0,335.773076728079,0,0,0
"408031R102b",409664.172254565,41291.7714851993,5396.50094284726,2801.20057814165,558.589576567137,9430.29362039867,14189.9829780628,3292.96690185987,13959.3162144059,8735.59587701956,7277.93409469027,8113.10685965473,4533.79500980705,2330.06183166554,214.75871099086,0,2826.73858911047,0,0,0
"408031R13b",69629.9359145763,22113.0987403569,3027.38851802506,0,7878.09057531519,28094.1654472725,6054.77703605011,4995.19105474134,37690.987049412,78317.2247054308,19223.9170894591,16058.3217043068,2421.91081442005,7123.26710123543,3330.12736982756,0,71027.1921536649,0,0,0
"408040R102b",414079.452450306,87713.6806585508,11286.2358329884,6556.37613003309,2747.93241977432,25377.3102748416,26310.1664341238,7064.3476139816,35525.5173280036,41996.247103185,70167.9912042595,25457.6406490474,8422.87600128575,1598.26869094606,271.705677460831,0,2403.55022369197,0,0,0
"408040R13b",65624.725161011,26554.9899489239,0,0,9303.23511508482,24690.4906546378,8446.7468029024,18192.9931139436,54578.979341831,119779.954663232,71310.0355091184,25707.490269703,0,27136.6073758403,2274.12413924296,0,29488.6426846889,0,0,0
"408231R202b",321000.847896532,53732.3657238254,8648.4593497517,4695.80846583574,28701.0297801486,8640.28757713776,13987.3507908583,2168.92464794954,12084.0087528617,12355.3648978137,12061.876868699,6851.261532121,5577.23480901311,0,0,0,6401.22188091858,0,0,0
"408386R102b",205669.699143731,6472.5576537476,1647.99438416452,0,50082.7990308785,2812.57708230744,878.930338221075,0,5658.11405229817,549.331461388172,10451.03105291,2149.5578923885,2087.45955327505,0,0,0,0,0,0,0
"408396R102b",233990.201398188,6409.66947610898,1203.24631600928,391.287962204327,8916.83438977858,4816.94114233631,549.976969098305,342.84278593141,7274.69536398211,801.208684513623,14994.0149659691,3279.36577847436,2271.33345679559,0,0,0,510.967613647774,346.139351180752,0,0
"433238R202b",592602.718535935,7444.69304647267,911.514187217842,515.203671036171,6476.92978712859,14267.0200583337,2764.92636789412,2340.31267568181,81673.9499601866,8037.17726816424,46317.4540307406,15533.3906817406,8946.51174754311,0,0,0,0,683.635640413379,0,0
"433246R202b",310490.616439187,12831.621980276,641.961708722531,725.695844642862,3952.90574880232,17404.1655250212,2920.92577468752,3717.54189505685,36739.1767894138,6135.42850470785,31637.0402089531,13046.0321161933,5272.84003482553,0,0,0,0,262.620699022854,0,0
"433310R202b",355750.293629086,6034.55054407766,6159.52644291948,3210.69035357978,2886.5003021333,21388.6133771245,993.508802182015,2291.00164085255,43818.1867231024,1740.73573386856,7573.65105543977,30888.3885220898,4582.00328170512,0,0,0,0,376.415504845081,0,0
"433318R202b",580080.161951499,23584.8829643421,2571.21218665972,3384.09852393288,260.460455272023,11383.8582984226,1352.94736488523,1074.3993779971,80054.6914316503,4380.64287453889,55295.7546542505,39944.8193867906,6780.65385224835,0,0,0,0,404.047629332241,0,0
"433434R202b",437170.484441687,5651.98385363223,3726.72653311969,1596.16210681281,25567.5851034562,5946.09634675644,3159.61597373191,3310.07387724296,5958.13297903732,3938.07208320208,504.033976761995,3179.24091766814,3279.98229654074,0,0,0,1388.84218625579,763.863202440682,0,0
"433442R202b",418754.180428035,2947.8198074715,1814.042958444,626.589717530173,38146.7237459285,3576.68803306542,1725.02047992777,1408.40279690305,2849.55914722245,3887.70438376675,147.390990373575,1509.51159223178,2620.284273308,0,0,0,1234.5570133855,655.071068326999,0,0
"433561R202b",147395.802123003,2997.10380490526,1325.64206755425,572.975727408359,39471.9672982422,5058.49417189672,5947.1942167924,2065.46730966725,1495.24627325604,2644.50335726936,12551.1985903399,1278.17662268019,1774.02100216819,0,0,0,0,0,77.9789451502502,0
"433569R202b",170048.83554896,5554.82610083938,527.938017848371,550.891844711346,92227.1721407161,14275.4440026199,24813.0868388735,4751.44216063534,6731.20972756673,21117.5207139348,44676.7547604185,3190.5819339532,4751.44216063534,0,0,0,0,0,162.442467030268,0
"433635R202b",437753.016162241,5241.93106591097,3549.37972459118,776.582380134958,91889.2081827996,5656.10833531627,1951.52275896877,3894.77635370462,1910.17693780418,7226.53048181138,334.9011514332,2718.03833047234,1637.29451811787,0,0,0,1641.11105545614,0,0,0
"433643R202b",569562.396924311,12589.7210190209,3905.53040661411,1395.69305414485,23993.8150303115,3694.88373436061,3079.06977863384,1211.97427456864,2997.17962494676,8958.07072507254,810.712521501995,5753.67340688284,3046.31371715901,0,0,0,1108.6666960711,0,0,0
"433938R102b",177748.975693092,2535.18207797831,2236.08435030346,1546.38672205129,2395.86871998758,6361.00230474559,5032.94357983007,5394.88233104096,2120.33410158186,921.884391992115,4659.60518291176,3300.94088745563,3898.67883194085,0,0,478.785119712034,289.375621803976,0,236.761872385071,0
"433946R202b",164946.315270634,6558.96494051812,2886.3543490683,2879.95161093816,10542.3557097985,6616.23103035412,5436.94911059193,3445.95366164277,3465.09784865189,1581.47631814523,14511.2937529179,5060.72421806474,2795.05130333246,0,0,804.055854383312,0,0,117.810381594625,0
