"","Rickettsiales","Rhodobacterales","Oceanospirillales","Alteromonadales","Flavobacteriales","SAR324_clade(Marine_group_B)","NB1-j","Methylophilales","Burkholderiales","Puniceicoccales","MB11C04_marine_group"
"400140R102b",37417.5270337221,3756.73730326858,5112.46245003902,422.081523223036,13840.7566156887,4115.2948514246,0,1646.11794056984,0,73.0525713270639,0
"400149R102b",44945.8559322461,4777.25020997663,6408.57525704846,5620.59257539036,12268.6422329655,3905.2255472639,0,2102.81375621902,0,110.03734988064,0
"400235R102b",14612.547787765,53687.0365311192,34025.4986710974,1759.14142789347,86975.6381485376,2053.00258175211,0,5555.18345650571,0,4273.21804346593,0
"400235R13b",46025.6075174717,44401.338513311,40532.228555709,86771.2986693336,395886.928429268,2078.57582336969,0,2078.57582336969,0,15303.8000182164,0
"400244R102b",17893.8317143781,54851.4575370697,40105.3292901857,2849.82903814042,89271.4348924452,1246.33653731987,0,6320.70672497934,0,2739.20118092279,0
"400244R13b",35609.8598685169,55700.026504459,41751.6301245851,46477.6534852163,284121.38495886,868.533167524801,1612.99016826034,5335.27517193806,0,15843.5720669359,0
"400355R102b",10750.7675685261,13640.4038357658,15028.0118932318,1237.66189902225,49974.1385473465,2767.52432457109,0,1463.59459472509,46.9602543762062,81.8794178867186,0
"400365R102b",31041.8029433289,12033.5878599175,17684.146023758,2237.0160832271,84318.1950340582,3086.02719319644,0,1996.84112500946,0,139.639239511151,0
"400468R13b",65714.6068427967,20174.469558507,11962.8526883527,26826.6511410065,283984.19499554,0,0,1571.76166708284,0,4375.60024535882,0
"400468R202b",59528.1299576786,22086.2012285926,12527.7402408781,1730.0008444494,89302.5981848346,0,0,2922.56968784468,0,670.495070085827,0
"400795R102b",40046.8602964552,11886.4760347744,11981.291180832,7413.15498663548,26617.7704042652,7415.29376887404,384.655008183668,1517.2503100578,0,230.135474981682,246.573723194658
"400804R102b",30263.9020612898,8836.16032099509,8321.72391135352,24774.6060880965,20964.7632482984,7948.09549084378,122.278392166827,1976.83400669704,0,62.7068677778602,219.474037222511
"407863R102b",37011.3576773053,7801.29084143312,9636.76704264164,70.7436644482392,16969.5690031579,2490.93711586391,0,2314.58758553726,462.917517107452,525.657253858277,0
"407872R202b",49899.4136552318,8314.41753609737,8393.14876705557,0,18877.4261770615,1194.64526246411,0,2917.69131409505,183.791578840633,335.773076728079,0
"408031R102b",14364.9715573887,54543.9716670071,43079.0066195,750.770709705956,66416.8115349706,2433.93205789642,0,4533.79500980705,2544.8205426564,2826.73858911047,0
"408031R13b",24219.1081442005,29886.1233136645,20737.6113484716,12818.4376351648,303774.306426062,0,0,2421.91081442005,10453.394471063,71027.1921536649,0
"408040R102b",21600.6013581361,127513.048719083,71368.0246130449,3914.91674253311,249941.658919874,2037.79258095623,0,8422.87600128575,1869.97436840689,2403.55022369197,0
"408040R13b",36385.9862278873,38068.7693747368,40501.0680036602,18136.7377239809,625280.554997686,0,5197.99803255533,0,29410.7315150833,29488.6426846889,0
"408231R202b",14429.9884741133,75133.5756235727,39734.109366858,29545.4321846024,82149.3842368525,1416.44058641603,0,5577.23480901311,0,6401.22188091858,0
"408386R102b",11041.5623739023,10413.4137897932,4802.07252496827,63056.1721417018,22116.5623150194,714.130899804624,0,2087.45955327505,0,0,0
"408396R102b",12578.0447088586,9716.15153748039,5806.89968671327,10892.6401095325,30505.7101168544,1778.49695201919,0,2271.33345679559,0,857.106964828526,0
"433238R202b",95034.4691593321,10114.8619269843,35499.6796163549,6773.53990059656,165474.403072575,0,0,8946.51174754311,0,683.635640413379,0
"433246R202b",79092.6005223829,16519.9015036726,19402.0281761062,5533.49328921765,101101.800974284,569.011514549517,0,5272.84003482553,0,262.620699022854,0
"433310R202b",63080.3946937657,16238.0204215939,40237.1064883717,3060.02126100146,96932.2246235321,355.883750035349,0,4582.00328170512,0,376.415504845081,0
"433318R202b",14802.8358746267,31965.9038256496,23994.9194419351,308.21153873856,201064.587494456,0,0,6780.65385224835,0,404.047629332241,0
"433434R202b",16339.7283212993,12222.3824432403,27614.0405577268,25892.1131446111,27235.6062221566,1354.12113159939,0,3279.98229654074,0,2152.70538869647,0
"433442R202b",15001.1274646883,6228.65233195204,20023.3389885286,38416.4828256184,15379.2173965161,229.27487391445,0,2620.284273308,0,1889.6280817125,0
"433561R202b",17993.6415934202,6868.67596269551,15911.278845637,40518.5924662472,28709.8486875216,1875.39363086351,152.058943042988,1774.02100216819,0,77.9789451502502,0
"433569R202b",31253.9306566236,15163.7943246389,39753.7327439824,96813.5107038442,112934.740984731,1372.63884640576,316.762810709023,4751.44216063534,0,162.442467030268,203.053083787835
"433635R202b",36218.9393401831,10668.051542495,27164.2045051374,93749.3291367282,24842.9062934052,347.304897782578,0,1637.29451811787,0,1641.11105545614,0
"433643R202b",7304.60170888666,19607.269722039,23027.5112168041,24915.3905786802,41318.8045159417,753.389413921046,0,3046.31371715901,0,1108.6666960711,0
"433938R102b",71732.2706139994,7735.44222398092,30984.8070150784,11648.6991612725,31925.6990771958,9148.21568021208,256.492028417161,3898.67883194085,0,526.137494189047,223.608435030346
"433946R202b",35531.6110889387,15463.4778191769,26186.6952702171,21392.2932868432,60185.8558068731,7657.67480365059,574.325610273795,2795.05130333246,0,117.810381594625,0
